EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
408409,2012,October,EF0,MISSOURI,37.2772,-93.4429,37.2833,-93.4374,0,0,0,0,25.00K
423947,2012,December,EF0,MISSISSIPPI,30.7625,-89.5228,30.7942,-89.5036,0,0,0,0,10.00K
417985,2012,December,EF1,ARKANSAS,35.399,-94.119,35.421,-94.077,0,0,0,0,400.00K
359288,2012,March,EF0,SOUTH CAROLINA,34.072,-81.076,34.0709,-81.0317,0,0,0,0,30.00K
372096,2012,March,EF0,INDIANA,38.8307,-85.047,38.8312,-85.046,0,0,0,0,0.00K
426572,2012,December,EF0,TEXAS,31.2131,-95.1956,31.2131,-95.1956,0,0,0,0,0.00K
364837,2012,February,EF1,SOUTH CAROLINA,32.8819,-80.8933,32.8875,-80.8681,0,0,0,0,125.00K
362795,2012,March,EF0,GEORGIA,31.434,-84.9487,31.4518,-84.8922,0,0,0,0,5.00K
416427,2012,October,EF0,MARYLAND,39.609,-76.504,39.626,-76.502,0,0,0,0,0.00K
362971,2012,March,EF0,MICHIGAN,41.8623,-83.567,41.8693,-83.5615,0,0,0,0,50.00K
364438,2012,April,EF0,LOUISIANA,32.965,-93.991,32.967,-93.938,0,0,0,0,5.00K
358538,2012,February,EF1,SOUTH CAROLINA,33.7119,-81.3239,33.7222,-81.221,0,0,0,0,60.00K
358539,2012,February,EF0,SOUTH CAROLINA,33.7026,-80.537,33.7375,-80.4653,0,0,0,0,10.00K
355654,2012,January,EF0,TEXAS,30.46,-94.43,30.466,-94.388,0,0,0,0,10.00K
421430,2012,December,EF1,NORTH CAROLINA,34.79,-76.67,34.803,-76.667,0,0,0,0,10.00K
411526,2012,October,EF1,CALIFORNIA,39.045,-121.091,39.091,-121.045,0,0,0,0,
355656,2012,January,EF0,TEXAS,30.5388,-94.1903,30.5389,-94.1843,0,0,0,0,20.00K
355657,2012,January,EF1,TEXAS,30.6494,-93.9221,30.6571,-93.8968,0,0,0,0,50.00K
355658,2012,January,EF0,TEXAS,30.75,-94.02,30.7536,-94.0032,0,0,0,0,5.00K
355659,2012,January,EF0,LOUISIANA,31.1,-93.54,31.1084,-93.4887,0,0,0,0,20.00K
355668,2012,January,EF0,LOUISIANA,31.33,-92.72,31.3383,-92.7087,0,0,0,0,40.00K
372151,2012,March,EF0,OHIO,39.3991,-83.9829,39.404,-83.9803,0,0,0,0,50.00K
355670,2012,January,EF0,LOUISIANA,31.14,-92.73,31.1403,-92.6998,0,0,0,0,50.00K
355037,2012,January,EF1,TEXAS,31.912,-94.692,31.922,-94.67,1,0,0,0,100.00K
361948,2012,March,EF0,LOUISIANA,31.6453,-93.5389,31.688,-93.5288,0,0,0,0,0.00K
355672,2012,January,EF0,LOUISIANA,31.27,-92.33,31.2738,-92.3075,0,0,0,0,100.00K
356064,2012,January,EF0,LOUISIANA,29.7179,-92.7626,29.7188,-92.761,0,0,0,0,10.00K
356069,2012,January,EF0,LOUISIANA,30.2286,-92.1415,30.2302,-92.1399,0,0,0,0,75.00K
361954,2012,March,EF0,LOUISIANA,31.7434,-93.0481,31.7432,-93.0304,0,0,0,0,60.00K
361952,2012,March,EF0,LOUISIANA,31.9848,-92.8863,31.9927,-92.8623,0,0,0,0,0.00K
432100,2012,August,EF0,ILLINOIS,39.1126,-90.4656,39.1149,-90.467,0,0,0,0,
365372,2012,April,EF0,TEXAS,32.0995,-94.9101,32.081,-94.8913,0,0,0,0,0.00K
365373,2012,April,EF0,TEXAS,31.9918,-94.7454,31.9805,-94.7361,0,0,0,0,0.00K
361956,2012,March,EF0,LOUISIANA,32.0508,-92.4855,32.0563,-92.4846,0,0,0,0,0.00K
417663,2012,December,EF0,ALABAMA,31.36,-86.13,31.36,-86.13,0,0,0,0,2.00K
379499,2012,April,EF0,OKLAHOMA,36.3899,-99.4107,36.3899,-99.4107,0,0,0,0,0.00K
379730,2012,April,EF0,OKLAHOMA,36.7874,-99.21,36.7874,-99.21,0,0,0,0,0.00K
364408,2012,April,EF0,TEXAS,33.347,-95.212,33.355,-95.201,0,0,0,0,0.00K
364410,2012,April,EF0,TEXAS,33.465,-95.056,33.484,-95.047,0,0,0,0,0.00K
364411,2012,April,EF0,TEXAS,33.411,-94.702,33.421,-94.665,0,0,0,0,0.00K
355047,2012,January,EF0,LOUISIANA,31.428,-93.317,31.413,-93.282,0,0,0,0,50.00K
407744,2012,June,EF0,NORTH CAROLINA,36.28,-76.29,36.28,-76.28,0,0,0,0,0.00K
412012,2012,August,EF0,ILLINOIS,38.7787,-90.1336,38.7817,-90.133,0,0,0,0,
